journal_name,issn,eissn
Pediatric Investigation,2096-3726,2574-2272
Sports Biomechanics,1476-3141,1752-6116
ADDICTION RESEARCH & THEORY,1606-6359,1476-7392
COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES,0147-9571,1878-1667
International Journal of Older People Nursing,1748-3735,1748-3743
JOURNAL OF MASS SPECTROMETRY,1076-5174,1096-9888
Patient Preference and Adherence,1177-889X,
Diagnosis,2194-8011,2194-802X
TAXON,0040-0262,1996-8175
International Journal of General Medicine,,1178-7074
HISTOLOGY AND HISTOPATHOLOGY,0213-3911,1699-5848
JOURNAL OF THEORETICAL BIOLOGY,0022-5193,1095-8541
Critical Care Nurse,0279-5442,1940-8250
EUROPEAN JOURNAL OF CONTRACEPTION AND REPRODUCTIVE HEALTH CARE,1362-5187,1473-0782
JOURNAL OF PLANT BIOLOGY,1226-9239,1867-0725
JOURNAL OF RADIATION RESEARCH,0449-3060,1349-9157
Clinical Child Psychology and Psychiatry,1359-1045,1461-7021
MYCOBIOLOGY,1229-8093,2092-9323
Indian Journal of Psychological Medicine,0253-7176,0975-1564
Paediatrics & Child Health,1205-7088,1918-1485
SYSTEMATICS AND BIODIVERSITY,1477-2000,1478-0933
ANNALS ACADEMY OF MEDICINE SINGAPORE,,2972-4066
JOURNAL OF INVESTIGATIVE MEDICINE,1081-5589,1708-8267
PLANTA MEDICA,0032-0943,1439-0221
Journal of Clinical Medicine Research-Canada,1918-3003,1918-3011
Breast Journal,1075-122X,1524-4741
JOURNAL OF PLANT PATHOLOGY,1125-4653,2239-7264
JOURNAL OF ANATOMY,0021-8782,1469-7580
Australasian Emergency Care,,2588-994X
Veterinary and Comparative Oncology,1476-5810,1476-5829
INTERNATIONAL JOURNAL OF AUDIOLOGY,1499-2027,1708-8186
PEDIATRIC CLINICS OF NORTH AMERICA,0031-3955,1557-8240
Contraception and Reproductive Medicine,,2055-7426
International Journal of Paediatric Dentistry,0960-7439,1365-263X
JAPANESE JOURNAL OF OPHTHALMOLOGY,0021-5155,1613-2246
LASERS IN SURGERY AND MEDICINE,0196-8092,1096-9101
VETERINARY CLINICS OF NORTH AMERICA-FOOD ANIMAL PRACTICE,0749-0720,1558-4240
JOURNAL OF MEDICINE AND PHILOSOPHY,0360-5310,1744-5019
Journal of the American College of Emergency Physicians Open,,2688-1152
MEDICAL AND VETERINARY ENTOMOLOGY,0269-283X,1365-2915
Aesthetic Surgery Journal Open Forum,,2631-4797
EUROPEAN SURGICAL RESEARCH,0014-312X,1421-9921
OPHTHALMIC RESEARCH,0030-3747,1423-0259
GEBURTSHILFE UND FRAUENHEILKUNDE,0016-5751,1438-8804
OPHTHALMOLOGICA,0030-3755,1423-0267
CELLS TISSUES ORGANS,1422-6405,1422-6421
Facial Plastic Surgery Clinics of North America,1064-7406,1558-1926
VETERINARY ANAESTHESIA AND ANALGESIA,1467-2987,1467-2995
Measurement in Physical Education and Exercise Science,1091-367X,1532-7841
Oral Surgery Oral Medicine Oral Pathology Oral Radiology,2212-4403,2212-4411
Indian Journal of Anaesthesia,0019-5049,0976-2817
JOURNAL OF NURSING ADMINISTRATION,0002-0443,1539-0721
European Journal of Dental Education,1396-5883,1600-0579
Chinese Journal of Traumatology,1008-1275,1008-1275
International Orthodontics,1761-7227,1879-680X
CRANIO-The Journal of Craniomandibular & Sleep Practice,0886-9634,2151-0903
Joint Diseases and Related Surgery,,2687-4792
JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES,1360-2322,1468-3148
JOURNAL OF NURSING EDUCATION,0148-4834,1938-2421
Brazilian Journal of Anesthesiology,0104-0014,2352-2291
Frontiers in Rehabilitation Sciences,,2673-6861
Journal of Applied Laboratory Medicine,2576-9456,2475-7241
Journal of Manual & Manipulative Therapy,1066-9817,2042-6186
Journal of Pediatric Urology,1477-5131,1873-4898
NEUROSURGERY CLINICS OF NORTH AMERICA,1042-3680,1558-1349
Videosurgery and Other Miniinvasive Techniques,1895-4588,2299-0054
Obstetrics & Gynecology Science,2287-8572,2287-8580
PERSPECTIVES IN PSYCHIATRIC CARE,0031-5990,1744-6163
Research in Sports Medicine,1543-8627,1543-8635
Computer Assisted Surgery,,2469-9322
CLINICAL TRANSPLANTATION,0902-0063,1399-0012
JOURNAL OF SMALL ANIMAL PRACTICE,0022-4510,1748-5827
ACTA NEUROCHIRURGICA,0001-6268,0942-0940
Sex Education-Sexuality Society and Learning,1468-1811,1472-0825
BRITISH JOURNAL OF ORAL & MAXILLOFACIAL SURGERY,0266-4356,1532-1940
JOURNAL OF INSECT CONSERVATION,1366-638X,1572-9753
Clinical Medicine Insights-Arthritis and Musculoskeletal Disorders,1179-5441,1179-5441
PSYCHOLOGY & HEALTH,0887-0446,1476-8321
JOURNAL OF BIOMOLECULAR NMR,0925-2738,1573-5001
LIMNOLOGY AND OCEANOGRAPHY-METHODS,1541-5856,1541-5856
ANXIETY STRESS AND COPING,1061-5806,1477-2205
ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY,0739-4462,1520-6327
Journal of Ophthalmology,2090-004X,2090-0058
JOURNAL OF SURGICAL ONCOLOGY,0022-4790,1096-9098
European Journal of Obstetrics & Gynecology and Reproductive Biology,0301-2115,1872-7654
EUROPEAN JOURNAL OF CANCER CARE,0961-5423,1365-2354
JOURNAL OF MAGNETIC RESONANCE,1090-7807,1096-0856
Local and Regional Anesthesia,1178-7112,1178-7112
ACTA ODONTOLOGICA SCANDINAVICA,0001-6357,1502-3850
AQUATIC LIVING RESOURCES,0990-7440,1765-2952
BIOSYSTEMS,0303-2647,1872-8324
HUMAN MOVEMENT SCIENCE,0167-9457,1872-7646
Jornal Brasileiro de Reproducao Assistida,1517-5693,1518-0557
Journal of Genetic Counseling,1059-7700,1573-3599
BIOLOGICAL BULLETIN,0006-3185,1939-8697
DENTAL MATERIALS JOURNAL,0287-4547,0287-4547
German Journal of Exercise and Sport Research,2509-3142,2509-3150
Journal of Ayurveda and Integrative Medicine,0975-9476,0976-2809
JTCVS Techniques,2666-2507,2666-2507
JTCVS Open,,2666-2736
Journal of Herbal Medicine,2210-8033,2210-8041
EUROPEAN JOURNAL OF PLANT PATHOLOGY,0929-1873,1573-8469
CURRENT PROBLEMS IN SURGERY,0011-3840,1535-6337
Landscape and Ecological Engineering,1860-1871,1860-188X
IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT,1054-5476,1475-2689
SINGAPORE MEDICAL JOURNAL,0037-5675,2737-5935
SWISS MEDICAL WEEKLY,1424-7860,1424-3997
PHYTOPATHOLOGIA MEDITERRANEA,0031-9465,1593-2095
CIN-COMPUTERS INFORMATICS NURSING,1538-2931,1538-9774
JOURNAL OF COASTAL CONSERVATION,1400-0350,1874-7841
PACIFIC CONSERVATION BIOLOGY,1038-2097,2204-4604
Translational Sports Medicine,,2573-8488
Conservation,,2673-7159
JOURNAL OF BIOSCIENCES,0250-5991,0973-7138
SEED SCIENCE RESEARCH,0960-2585,1475-2735
WATER ENVIRONMENT RESEARCH,1061-4303,1554-7531
Journal of Taibah University Medical Sciences,1658-3612,1658-3612
RESEARCH IN VETERINARY SCIENCE,0034-5288,1532-2661
Brazilian Journal of Otorhinolaryngology,1808-8694,1808-8686
Journal of Hand Therapy,0894-1130,1545-004X
JOURNAL OF TEACHING IN PHYSICAL EDUCATION,0273-5024,1543-2769
JOURNAL OF FORENSIC SCIENCES,0022-1198,1556-4029
American Journal of Audiology,1059-0889,1558-9137
CLINICS IN PLASTIC SURGERY,0094-1298,1558-0504
JAVMA-JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION,0003-1488,1943-569X
Breastfeeding Medicine,1556-8253,1556-8342
JOURNAL OF HUMAN LACTATION,0890-3344,1552-5732
CLINICAL JOURNAL OF SPORT MEDICINE,1050-642X,1536-3724
SCANDINAVIAN JOURNAL OF CARING SCIENCES,0283-9318,1471-6712
LANGENBECKS ARCHIVES OF SURGERY,1435-2443,1435-2451
TEACHING AND LEARNING IN MEDICINE,1040-1334,1532-8015
Journal of Pediatric Health Care,0891-5245,1532-656X
BMC Surgery,,1471-2482
Arthropod Systematics & Phylogeny,1863-7221,1864-8312
Scandinavian Journal of Surgery,1457-4969,1799-7267
AGRICULTURAL AND FOREST ENTOMOLOGY,1461-9555,1461-9563
Journal of Geriatric Physical Therapy,1539-8412,2152-0895
Journal of Pediatric and Adolescent Gynecology,1083-3188,1873-4332
Journal of Wound Ostomy and Continence Nursing,1071-5754,1528-3976
JOURNAL OF ORTHOPAEDIC TRAUMA,0890-5339,1531-2291
Forensic Sciences Research,2096-1790,2471-1411
NEUROBIOLOGY OF LEARNING AND MEMORY,1074-7427,1095-9564
Physiotherapy Research International,1358-2267,1471-2865
SCANDINAVIAN JOURNAL OF PRIMARY HEALTH CARE,0281-3432,1502-7724
PHYSICIAN AND SPORTSMEDICINE,0091-3847,2326-3660
Clinical Nursing Research,1054-7738,1552-3799
Photobiomodulation Photomedicine and Laser Surgery,,2578-5478
DEATH STUDIES,0748-1187,1091-7683
Frontiers in Surgery,2296-875X,2296-875X
JOURNAL OF SCHOOL HEALTH,0022-4391,1746-1561
AEM Education and Training,,2472-5390
Australian Occupational Therapy Journal,0045-0766,1440-1630
Plastic and Reconstructive Surgery-Global Open,2169-7574,2169-7574
ORTHOPEDIC CLINICS OF NORTH AMERICA,0030-5898,1558-1373
Marine and Coastal Fisheries,1942-5120,1942-5120
ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA,0013-8746,1938-2901
Womens Health Reports,,2688-4844
Economics & Human Biology,1570-677X,1873-6130
Journal of Child and Family Studies,1062-1024,1573-2843
Therapeutic Advances in Reproductive Health,,2633-4941
JOURNAL OF APICULTURAL RESEARCH,0021-8839,2078-6913
INTERNATIONAL UROGYNECOLOGY JOURNAL,0937-3462,1433-3023
Spine Deformity,2212-134X,2212-1358
ANIMAL BIOTECHNOLOGY,1049-5398,1532-2378
Applied Radiation and Isotopes,0969-8043,1872-9800
JOURNAL OF PESTICIDE SCIENCE,1348-589X,1349-0923
ACSMS HEALTH & FITNESS JOURNAL,1091-5397,1536-593X
AQUATIC SCIENCES,1015-1621,1420-9055
JSLS-Journal of the Society of Laparoendoscopic Surgeons,1086-8089,
NEUROREHABILITATION,1053-8135,1878-6448
Spine Surgery and Related Research,2432-261X,2432-261X
AQUATIC ECOLOGY,1386-2588,1573-5125
BRAIN INJURY,0269-9052,1362-301X
JPRAS Open,2352-5878,2352-5878
Marine Ecology-An Evolutionary Perspective,0173-9565,1439-0485
International Journal of Reproductive Biomedicine,2476-4108,2476-3772
Journal of Essential Oil Bearing Plants,0972-060X,0976-5026
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,0022-0981,1879-1697
MATHEMATICAL BIOSCIENCES,0025-5564,1879-3134
Archives of Bone and Joint Surgery-ABJS,2345-4644,2345-461X
Journal of Burn Care & Research,1559-047X,1559-0488
ANNALS OF SAUDI MEDICINE,0256-4947,1319-9226
ENVIRONMENTAL BIOLOGY OF FISHES,0378-1909,1573-5133
RADIOPROTECTION,0033-8451,1769-700X
Thoracic Surgery Clinics,1547-4127,1558-5069
Chronic Illness,1742-3953,1745-9206
AMERICAN JOURNAL OF THE MEDICAL SCIENCES,0002-9629,1538-2990
JOURNAL OF RADIOLOGICAL PROTECTION,0952-4746,1361-6498
AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,0002-9254,1943-7749
Frontiers in Conservation Science,,2673-611X
EJVES Vascular Forum,2666-688X,2666-688X
JMA Journal,2433-328X,2433-3298
WATER AND ENVIRONMENT JOURNAL,1747-6585,1747-6593
SOIL SCIENCE AND PLANT NUTRITION,0038-0768,1747-0765
Czech Journal of Genetics and Plant Breeding,1212-1975,1805-9325
Current Obstetrics and Gynecology Reports,2161-3303,2161-3303
PLANT BREEDING,0179-9541,1439-0523
SPORTS MEDICINE AND ARTHROSCOPY REVIEW,1062-8592,1538-1951
FLORA,0367-2530,1618-0585
BRITISH JOURNAL OF HOSPITAL MEDICINE,1750-8460,1759-7390
ANNALS OF ANATOMY-ANATOMISCHER ANZEIGER,0940-9602,1618-0402
AMERICAN JOURNAL OF OTOLARYNGOLOGY,0196-0709,1532-818X
Teaching and Learning in Nursing,1557-3087,1557-2013
NURSING CLINICS OF NORTH AMERICA,0029-6465,1558-1357
Australian Journal of General Practice,2208-794X,2208-7958
FAMILY MEDICINE,0742-3225,1938-3800
Collegian,1322-7696,1876-7575
Laryngoscope Investigative Otolaryngology,2378-8038,2378-8038
BMC Zoology,,2056-3132
ACTA VETERINARIA SCANDINAVICA,0044-605X,1751-0147
VETERINARY PATHOLOGY,0300-9858,1544-2217
GENERAL AND COMPARATIVE ENDOCRINOLOGY,0016-6480,1095-6840
JOURNAL OF SURGICAL RESEARCH,0022-4804,1095-8673
Veterinary Medicine and Science,,2053-1095
Canadian Journal of Occupational Therapy-Revue Canadienne d Ergotherapie,0008-4174,1911-9828
JOURNAL OF NURSING CARE QUALITY,1057-3631,1550-5065
EXPERIMENTAL AND APPLIED ACAROLOGY,0168-8162,1572-9702
Journal of Communication in Healthcare,1753-8068,1753-8076
Pediatric Health Medicine and Therapeutics,,1179-9927
Journal of the American Association for Laboratory Animal Science,1559-6109,1559-6109
ADVANCES IN PHYSIOLOGY EDUCATION,1043-4046,1522-1229
TROPICAL ANIMAL HEALTH AND PRODUCTION,0049-4747,1573-7438
WESTERN JOURNAL OF NURSING RESEARCH,0193-9459,1552-8456
REHABILITATION PSYCHOLOGY,0090-5550,1939-1544
TURKISH JOURNAL OF ZOOLOGY,1300-0179,1303-6114
International Journal of Spine Surgery,,2211-4599
ANATOMICAL SCIENCE INTERNATIONAL,1447-6959,1447-073X
CULTURE HEALTH & SEXUALITY,1369-1058,1464-5351
ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,0013-8703,1570-7458
MICROSURGERY,0738-1085,1098-2752
QUEST,0033-6297,1543-2750
REVIEW OF PALAEOBOTANY AND PALYNOLOGY,0034-6667,1879-0615
PHYSICAL & OCCUPATIONAL THERAPY IN PEDIATRICS,0194-2638,1541-3144
Surgery Open Science,2589-8450,2589-8450
NEOTROPICAL ENTOMOLOGY,1519-566X,1678-8052
AUSTRALIAN VETERINARY JOURNAL,0005-0423,1751-0813
JOURNAL OF AQUATIC ANIMAL HEALTH,0899-7659,1548-8667
PEDIATRIC ANESTHESIA,1155-5645,1460-9592
Translational Pediatrics,2224-4336,2224-4344
JOURNAL OF CONTINUING EDUCATION IN THE HEALTH PROFESSIONS,0894-1912,1554-558X
JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,1552-5007,1552-5015
PEDIATRIC DENTISTRY,0164-1263,1942-5473
REPRODUCTION IN DOMESTIC ANIMALS,0936-6768,1439-0531
European Journal of Midwifery,2585-2906,2585-2906
CHRONOBIOLOGY INTERNATIONAL,0742-0528,1525-6073
EUROPEAN JOURNAL OF PHYCOLOGY,0967-0262,1469-4433
Turkish Journal of Fisheries and Aquatic Sciences,1303-2712,2149-181X
Developmental Neurorehabilitation,1751-8423,1751-8431
JOURNAL OF VETERINARY PHARMACOLOGY AND THERAPEUTICS,0140-7783,1365-2885
Turkish Archives of Pediatrics,,2757-6256
BIOMETRICS,0006-341X,1541-0420
BMJ Military Health,2633-3767,2633-3775
PLANT ECOLOGY,1385-0237,1573-5052
Journal of Korean Neurosurgical Society,2005-3711,1598-7876
Knowledge and Management of Aquatic Ecosystems,1961-9502,1961-9502
ANNALS OF THE ROYAL COLLEGE OF SURGEONS OF ENGLAND,0035-8843,1478-7083
Anaesthesiology Intensive Therapy,1642-5758,1731-2531
Libyan Journal of Medicine,1993-2820,1819-6357
SABRAO Journal of Breeding and Genetics,1029-7073,2224-8978
World Journal of Gastrointestinal Surgery,1948-9366,1948-9366
Biology Open,2046-6390,2046-6390
CONSERVATION GENETICS,1566-0621,1572-9737
Journal of the American Psychiatric Nurses Association,1078-3903,1532-5725
Annals of Hepato-Biliary-Pancreatic Surgery,2508-5778,2508-5859
International Journal of Health Economics and Management,2199-9023,2199-9031
NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,0028-8330,1175-8805
Pakistan Journal of Medical Sciences,1682-024X,1681-715X
EUPHYTICA,0014-2336,1573-5060
Nature Conservation-Bulgaria,1314-6947,1314-3301
REVISTA CLINICA ESPANOLA,0014-2565,1578-1860
Ethnobiology and Conservation,2238-4782,2238-4782
WEED TECHNOLOGY,0890-037X,1550-2740
JOURNAL OF PLANT NUTRITION,0190-4167,1532-4087
Open Life Sciences,2391-5412,2391-5412
Nature Conservation Research,2500-008X,2500-008X
Nursing & Health Sciences,1441-0745,1442-2018
TOPICS IN LANGUAGE DISORDERS,0271-8294,1550-3259
JOURNAL OF MAMMALOGY,0022-2372,1545-1542
JOURNAL OF ZOOLOGY,0952-8369,1469-7998
Augmentative and Alternative Communication,0743-4618,1477-3848
ZOOLOGY,0944-2006,1873-2720
BMJ Surgery Interventions & Health Technologies,,2631-4940
ADAPTED PHYSICAL ACTIVITY QUARTERLY,0736-5829,1543-2777
ECOLOGICAL ENTOMOLOGY,0307-6946,1365-2311
Journal of Comparative Physiology B-Biochemical Systems and Environmental Physiology,0174-1578,1432-136X
Mammal Research,2199-2401,2199-241X
HEALTH CARE ANALYSIS,1065-3058,1573-3394
Advances in Neonatal Care,1536-0903,1536-0911
Current Transplantation Reports,,2196-3029
PEDIATRIC SURGERY INTERNATIONAL,0179-0358,1437-9813
SURGERY TODAY,0941-1291,1436-2813
Annals of Surgical Treatment and Research,2288-6575,2288-6796
BULLETIN OF ENTOMOLOGICAL RESEARCH,0007-4853,1475-2670
Facial Plastic Surgery & Aesthetic Medicine,2689-3614,2689-3622
Japan Journal of Nursing Science,1742-7932,1742-7924
Journal of Veterinary Behavior-Clinical Applications and Research,1558-7878,1878-7517
JOURNAL OF CHILD NEUROLOGY,0883-0738,1708-8283
JOURNAL OF EQUINE VETERINARY SCIENCE,0737-0806,1542-7412
Journal of Hand Surgery-European Volume,1753-1934,2043-6289
Gland Surgery,2227-684X,2227-8575
WILDLIFE RESEARCH,1035-3712,1448-5494
ANNALS OF PLASTIC SURGERY,0148-7043,1536-3708
Journal of Exercise Rehabilitation,2288-176X,2288-1778
Research in Gerontological Nursing,1940-4921,1938-2464
ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH,0030-2465,2219-0635
Atencion Primaria,0212-6567,1578-1275
Journal of Child Health Care,1367-4935,1741-2889
Journal of Childrens Orthopaedics,1863-2521,1863-2548
ANZ JOURNAL OF SURGERY,1445-1433,1445-2197
CLINICAL NEUROLOGY AND NEUROSURGERY,0303-8467,1872-6968
Journal of Orthopaedic Surgery,1022-5536,2309-4990
Geriatric Orthopaedic Surgery & Rehabilitation,2151-4585,2151-4593
Pediatric Gastroenterology Hepatology & Nutrition,2234-8646,2234-8840
JOURNAL OF HELMINTHOLOGY,0022-149X,1475-2697
Tree Genetics & Genomes,1614-2942,1614-2950
Journal of the American Association of Nurse Practitioners,2327-6886,2327-6924
PEDIATRICS IN REVIEW,0191-9601,1526-3347
Women,,2673-4184
Journal for Specialists in Pediatric Nursing,1539-0136,1744-6155
Current Pediatric Reviews,1573-3963,1875-6336
ANNALS OF VASCULAR SURGERY,0890-5096,1615-5947
Innovations-Technology and Techniques in Cardiothoracic and Vascular Surgery,1556-9845,1559-0879
Journal for Nurses in Professional Development,2169-9798,2169-981X
Surgical Innovation,1553-3506,1553-3514
Holistic Nursing Practice,0887-9311,1550-5138
Hong Kong Journal of Occupational Therapy,1569-1861,1876-4398
BMJ Open Quality,,2399-6641
ENTOMOLOGICAL RESEARCH,1738-2297,1748-5967
JBJS Essential Surgical Techniques,2160-2204,2160-2204
Visceral Medicine,2297-4725,2297-475X
CONGENITAL ANOMALIES,0914-3505,1741-4520
IRISH JOURNAL OF MEDICAL SCIENCE,0021-1265,1863-4362
JOURNAL OF COMPUTATIONAL BIOLOGY,1066-5277,1557-8666
Annals of Medicine and Surgery,2049-0801,2049-0801
Open Medicine,2391-5463,2391-5463
Sao Paulo Medical Journal,1516-3180,
UPSALA JOURNAL OF MEDICAL SCIENCES,0300-9734,2000-1967
TOHOKU JOURNAL OF EXPERIMENTAL MEDICINE,0040-8727,1349-3329
Tzu Chi Medical Journal,1016-3190,2223-8956
Intractable & Rare Diseases Research,2186-3644,2186-361X
Journal of Medical Science,2353-9798,2353-9801
AURIS NASUS LARYNX,0385-8146,1879-1476
Journal of Special Education Technology,0162-6434,2381-3121
JOURNAL OF DEVELOPMENTAL AND PHYSICAL DISABILITIES,1056-263X,1573-3580
OTO Open,,2473-974X
Advances in Neurodevelopmental Disorders,2366-7532,2366-7540
Women in Sport and Physical Activity Journal,1063-6161,1938-1581
ZOOLOGISCHER ANZEIGER,0044-5231,0044-5231
CLINICAL OTOLARYNGOLOGY,1749-4478,1749-4486
Ichthyology and Herpetology,2766-1512,2766-1520
Journal of Bioethical Inquiry,1176-7529,1872-4353
ENVIRONMENTAL ENTOMOLOGY,0046-225X,1938-2936
PRIMATES,0032-8332,1610-7365
Journal of Vertebrate Biology,2694-7684,2694-7684
Pedagogy in Health Promotion,2373-3799,2373-3802
Journal of Veterinary Science,1229-845X,1976-555X
DEVELOPMENTAL DYNAMICS,1058-8388,1097-0177
International Journal of Art Therapy,1745-4832,1745-4840
Journal of Veterinary Research,2450-7393,2450-8608
Pediatric Physical Therapy,0898-5669,1538-005X
JOURNAL OF HYMENOPTERA RESEARCH,1070-9428,1314-2607
PHYSIOTHERAPY THEORY AND PRACTICE,0959-3985,1532-5040
TAXONOMY,,2673-6500
VETERINARY RADIOLOGY & ULTRASOUND,1058-8183,1740-8261
JOURNAL OF AMERICAN COLLEGE HEALTH,0744-8481,1940-3208
JOURNAL OF WOMEN & AGING,0895-2841,1540-7322
OTJR-Occupational Therapy Journal of Research,1539-4492,1938-2383
VETERINARY CLINICS OF NORTH AMERICA-EQUINE PRACTICE,0749-0739,1558-4224
WILDLIFE BIOLOGY,0909-6396,1903-220X
International Journal of Paleopathology,1879-9817,1879-9825
Journal of Sport Rehabilitation,1056-6716,1543-3072
PHYSIOLOGICAL ENTOMOLOGY,0307-6962,1365-3032
SEXUALITY AND DISABILITY,0146-1044,1573-6717
Open Access Emergency Medicine,1179-1500,1179-1500
ARTS IN PSYCHOTHERAPY,0197-4556,1873-5878
Journal of Advanced Veterinary and Animal Research,,2311-7710
THEORETICAL MEDICINE AND BIOETHICS,1386-7415,1573-1200
Behavioural Processes,0376-6357,1872-8308
INSECTES SOCIAUX,0020-1812,1420-9098
ACTA PARASITOLOGICA,1230-2821,1896-1851
JOURNAL OF GERONTOLOGICAL SOCIAL WORK,1540-4048,0163-4372
EDUCATIONAL GERONTOLOGY,0360-1277,1521-0472
LEARNING & BEHAVIOR,1543-4494,1543-4508
Progress in Rehabilitation Medicine,,2432-1354
PHYTOPARASITICA,0334-2123,1876-7184
SAUDI MEDICAL JOURNAL,0379-5284,1658-3175
International Journal of Osteopathic Medicine,1746-0689,1878-0164
Saudi Journal of Medicine & Medical Sciences,1658-631X,2321-4856
